City ID,City Name,Timezone,Weather Condition,Weather Description,Temperature,Feels Like,Max Temperature,Min Temperature,Humidity,Cloud Coverage,Visibility,Wind Speed,Wind Direction,Atmospheric Pressure (hPa),Sea Level Pressure (hPa),Ground Level Pressure (hPa),Sunrise Time (Local),Sunset Time (Local),Latitude,Longitude
4046946,Yorktown,-4 UTC,Clouds,overcast clouds,22.13 °C,22.49 °C,23.33 °C,21.11 °C,80%,100%,10000 m,0.89 m/s,113°,1022,1022,1020,05:59 AM,08:05 PM,37.2388,-76.5097
4047191,Belforest,-5 UTC,Clouds,overcast clouds,24.21 °C,24.59 °C,25.43 °C,23.21 °C,73%,99%,10000 m,2.24 m/s,167°,1012,1012,1009,05:58 AM,07:36 PM,30.6038,-87.8525
4047198,Brighton,-5 UTC,Clouds,broken clouds,23 °C,23.44 °C,23.38 °C,22.75 °C,80%,83%,10000 m,3.99 m/s,170°,1011,1011,989,05:49 AM,07:38 PM,33.4343,-86.9472
4047434,Russell,-5 UTC,Clouds,broken clouds,26.89 °C,28.37 °C,26.89 °C,26.89 °C,66%,77%,10000 m,4.35 m/s,204°,1011,1011,998,05:44 AM,07:29 PM,32.3502,-85.1999
4047656,Provo,-5 UTC,Clouds,overcast clouds,26.57 °C,26.57 °C,26.57 °C,26.57 °C,62%,95%,8805 m,1.33 m/s,338°,1009,1009,993,06:17 AM,08:08 PM,34.0376,-94.1077
4047734,Ocean View,-4 UTC,Clouds,overcast clouds,22.79 °C,22.98 °C,25.03 °C,22.79 °C,71%,100%,10000 m,5.21 m/s,170°,1023,1023,1023,05:51 AM,08:02 PM,38.5451,-75.0891
4047827,Berry,-5 UTC,Clouds,broken clouds,23.83 °C,24.44 °C,23.83 °C,23.83 °C,83%,52%,10000 m,3.54 m/s,190°,1011,1011,993,05:51 AM,07:41 PM,33.6598,-87.6
4047906,Trinity,-4 UTC,Clouds,broken clouds,28.07 °C,31.51 °C,28.95 °C,27.19 °C,75%,61%,10000 m,1.34 m/s,233°,1013,1013,1013,06:42 AM,08:11 PM,28.1808,-82.6818
4047914,Villas,-4 UTC,Clouds,overcast clouds,24.43 °C,25.38 °C,25.02 °C,23.36 °C,94%,100%,10000 m,0.89 m/s,258°,1013,1013,1014,06:42 AM,08:05 PM,26.5504,-81.8687
4048023,Bessemer,-5 UTC,Clouds,broken clouds,22.92 °C,23.36 °C,23.27 °C,22.64 °C,80%,80%,10000 m,0.89 m/s,286°,1011,1011,989,05:49 AM,07:38 PM,33.4018,-86.9544
4048332,Aurora,-4 UTC,Rain,moderate rain,19.59 °C,19.93 °C,20.75 °C,19 °C,89%,100%,10000 m,1.34 m/s,0°,1015,1015,988,06:29 AM,08:42 PM,39.057,-84.9013
4048388,New Pekin,-4 UTC,Clouds,overcast clouds,22.93 °C,23.16 °C,23.99 °C,22.47 °C,72%,100%,10000 m,1.34 m/s,73°,1013,1013,984,06:35 AM,08:45 PM,38.5051,-86.0169
4048488,Stockton,-5 UTC,Clear,clear sky,28.67 °C,27.55 °C,28.67 °C,28.67 °C,29%,0%,10000 m,6.6 m/s,170°,1008,1008,941,06:25 AM,08:41 PM,39.4381,-99.2651
4048522,Boone,-4 UTC,Rain,moderate rain,18.94 °C,19.21 °C,19.47 °C,18.28 °C,89%,100%,10000 m,1.79 m/s,118°,1015,1015,988,06:28 AM,08:41 PM,38.8667,-84.6333
4048572,Rowan,-4 UTC,Clouds,overcast clouds,20.62 °C,21.11 °C,20.62 °C,20.62 °C,91%,100%,10000 m,3.4 m/s,105°,1016,1016,980,06:25 AM,08:34 PM,38.1834,-83.4332
4048662,Paducah,-5 UTC,Clouds,overcast clouds,23.24 °C,23.68 °C,23.58 °C,22.89 °C,79%,100%,10000 m,4.07 m/s,158°,1009,1009,996,05:48 AM,07:53 PM,37.0834,-88.6001
4048706,Stricklett,-4 UTC,Clouds,overcast clouds,18.95 °C,19.3 °C,18.95 °C,18.95 °C,92%,100%,1304 m,3.33 m/s,102°,1016,1016,982,06:24 AM,08:35 PM,38.4845,-83.3874
4048850,Monticello,-5 UTC,Clouds,overcast clouds,23.68 °C,23.83 °C,23.68 °C,23.68 °C,66%,100%,10000 m,3.13 m/s,255°,1010,1010,1006,06:09 AM,07:54 PM,32.5965,-91.394
4048888,Red Chute,-5 UTC,Clouds,overcast clouds,25.55 °C,25.81 °C,25.55 °C,24.49 °C,63%,96%,10000 m,2.67 m/s,276°,1011,1011,1003,06:18 AM,08:03 PM,32.556,-93.6132
4049032,Jessup,-4 UTC,Clouds,overcast clouds,25.11 °C,25.11 °C,26.42 °C,23.51 °C,55%,100%,10000 m,1.79 m/s,39°,1022,1022,1012,05:56 AM,08:10 PM,39.1493,-76.7753
4049176,Chandler,-5 UTC,Clear,clear sky,27.14 °C,26.72 °C,27.75 °C,26.64 °C,35%,2%,10000 m,1.79 m/s,219°,1010,1010,979,06:06 AM,08:21 PM,39.3003,-94.3827
4049979,Birmingham,-5 UTC,Clouds,overcast clouds,22.67 °C,23 °C,24.58 °C,21.82 °C,77%,94%,10000 m,4.14 m/s,175°,1011,1011,987,05:48 AM,07:38 PM,33.5207,-86.8025
4050006,Delhi Hills,-4 UTC,Rain,light rain,18.79 °C,19.1 °C,19.64 °C,18.08 °C,91%,100%,10000 m,0.89 m/s,169°,1015,1015,989,06:28 AM,08:41 PM,39.0928,-84.6127
4050118,Turpin Hills,-4 UTC,Clouds,overcast clouds,19.12 °C,19.52 °C,20.01 °C,18.45 °C,93%,100%,10000 m,0.45 m/s,164°,1015,1015,989,06:27 AM,08:40 PM,39.1101,-84.3799
4050283,Blackburn,-5 UTC,Clouds,broken clouds,23.3 °C,23.7 °C,25.11 °C,21.95 °C,77%,63%,10000 m,0.45 m/s,43°,1011,1011,987,05:49 AM,07:44 PM,34.9309,-87.6461
4050356,Lugoff,-4 UTC,Clouds,overcast clouds,22.61 °C,23.3 °C,23.3 °C,22.25 °C,91%,100%,10000 m,0.89 m/s,152°,1015,1015,1006,06:23 AM,08:15 PM,34.2274,-80.6892
4050633,Blount,-5 UTC,Clouds,overcast clouds,23.42 °C,23.8 °C,23.82 °C,23.42 °C,76%,92%,10000 m,2.48 m/s,140°,1010,1010,983,05:47 AM,07:38 PM,33.9668,-86.5833
4050655,Blountsville,-5 UTC,Clouds,broken clouds,23.85 °C,24.25 °C,23.85 °C,23.85 °C,75%,68%,10000 m,2.59 m/s,146°,1010,1010,982,05:46 AM,07:38 PM,34.0815,-86.5911
4050879,Blue Ridge,-5 UTC,Clouds,scattered clouds,26.62 °C,26.62 °C,28.03 °C,26.28 °C,59%,32%,10000 m,4.64 m/s,159°,1010,1010,1001,05:48 AM,07:33 PM,32.4926,-86.1905
4050880,Buda,-5 UTC,Clear,clear sky,31.97 °C,30.37 °C,33.47 °C,30.45 °C,26%,0%,10000 m,0.89 m/s,311°,1011,1011,984,06:39 AM,08:15 PM,30.0852,-97.8403
4050961,Blue Springs,-5 UTC,Rain,light rain,24.25 °C,24.66 °C,24.25 °C,24.25 °C,74%,72%,10000 m,2.84 m/s,149°,1010,1010,981,05:46 AM,07:38 PM,34.1265,-86.5428
4051059,Boaz,-5 UTC,Clouds,overcast clouds,23.72 °C,23.95 °C,24.61 °C,22.23 °C,69%,100%,10000 m,3.24 m/s,169°,1010,1010,976,05:44 AM,07:37 PM,34.2006,-86.1664
4051669,Brent,-5 UTC,Clouds,few clouds,24.27 °C,24.84 °C,24.27 °C,24.27 °C,80%,24%,10000 m,4.97 m/s,179°,1011,1011,997,05:51 AM,07:38 PM,32.9374,-87.1647
4051680,Brewer Estates,-5 UTC,Clouds,broken clouds,25.15 °C,25.39 °C,25.15 °C,25.15 °C,64%,58%,10000 m,4.86 m/s,197°,1010,1010,1003,05:49 AM,07:34 PM,32.3112,-86.3903
4051714,Brewton,-5 UTC,Clouds,broken clouds,24.95 °C,25.28 °C,24.95 °C,24.95 °C,68%,64%,10000 m,3.26 m/s,198°,1012,1012,1005,05:54 AM,07:34 PM,31.1052,-87.0722
4051742,Brickdale Estates,-5 UTC,Clouds,scattered clouds,26.71 °C,27.98 °C,28.14 °C,26.71 °C,64%,47%,10000 m,4.73 m/s,189°,1010,1010,1003,05:49 AM,07:34 PM,32.3618,-86.3627
4051774,Bridgeport,-5 UTC,Clouds,scattered clouds,22.51 °C,22.98 °C,23.98 °C,22.51 °C,83%,36%,10000 m,3.12 m/s,166°,1011,1011,971,05:41 AM,07:36 PM,34.9476,-85.7144
4051894,Brook Highland,-5 UTC,Clouds,broken clouds,22.96 °C,23.35 °C,24.62 °C,21.86 °C,78%,83%,10000 m,0.89 m/s,264°,1011,1011,986,05:48 AM,07:37 PM,33.4357,-86.6739
4051955,Brookside,-5 UTC,Rain,moderate rain,22.33 °C,22.81 °C,22.86 °C,22.1 °C,84%,86%,10000 m,3.1 m/s,185°,1011,1011,990,05:49 AM,07:39 PM,33.6379,-86.9167
4051971,Brookwood,-5 UTC,Clouds,few clouds,22.17 °C,22.61 °C,22.17 °C,21.71 °C,83%,12%,10000 m,4.68 m/s,194°,1011,1011,993,05:51 AM,07:39 PM,33.2557,-87.3208
4052177,Brundidge,-5 UTC,Clear,clear sky,25.57 °C,25.67 °C,25.57 °C,25.57 °C,57%,9%,10000 m,3.54 m/s,176°,1012,1012,997,05:48 AM,07:30 PM,31.7202,-85.8161
4052497,Bullock,-5 UTC,Clouds,few clouds,25.4 °C,25.64 °C,25.4 °C,25.4 °C,63%,23%,10000 m,4.71 m/s,182°,1011,1011,996,05:47 AM,07:31 PM,32.0668,-85.7
4052726,Butler,-5 UTC,Clouds,scattered clouds,22.17 °C,22.32 °C,22.17 °C,22.17 °C,72%,48%,10000 m,0.45 m/s,223°,1010,1010,1002,05:57 AM,07:41 PM,32.0896,-88.222
4052824,Bynum,-5 UTC,Clouds,overcast clouds,26.53 °C,26.53 °C,26.53 °C,24.9 °C,70%,100%,10000 m,3.38 m/s,164°,1010,1010,986,05:45 AM,07:35 PM,33.6132,-85.9611
4052923,Caddo,-5 UTC,Clouds,broken clouds,23.29 °C,23.76 °C,24.12 °C,23.14 °C,80%,68%,10000 m,4.37 m/s,170°,1010,1010,988,05:48 AM,07:41 PM,34.5693,-87.14
4052964,Cahaba Heights,-5 UTC,Clouds,overcast clouds,22.74 °C,23.11 °C,24.47 °C,21.71 °C,78%,87%,10000 m,0.89 m/s,264°,1011,1011,986,05:48 AM,07:37 PM,33.464,-86.7319
4053050,Calera,-5 UTC,Clouds,few clouds,23.78 °C,24.22 °C,24.43 °C,22.97 °C,77%,17%,10000 m,0.89 m/s,272°,1011,1011,990,05:49 AM,07:37 PM,33.1029,-86.7536
4053062,Calhoun County,-5 UTC,Clouds,overcast clouds,26.4 °C,26.4 °C,26.4 °C,26.4 °C,66%,100%,10000 m,3.45 m/s,155°,1010,1010,984,05:44 AM,07:35 PM,33.7504,-85.85
4053200,Camden,-5 UTC,Clouds,scattered clouds,24.45 °C,24.73 °C,24.45 °C,24.45 °C,68%,44%,10000 m,4.79 m/s,173°,1011,1011,1004,05:53 AM,07:37 PM,31.991,-87.2906
4053318,Camp Hill,-5 UTC,Clouds,scattered clouds,24.84 °C,25.21 °C,24.84 °C,24.84 °C,70%,43%,10000 m,5.46 m/s,184°,1011,1011,987,05:45 AM,07:32 PM,32.8004,-85.6536
4053671,Carbon Hill,-5 UTC,Clouds,broken clouds,22.41 °C,22.85 °C,22.41 °C,22.41 °C,82%,62%,10000 m,3.28 m/s,185°,1011,1011,990,05:51 AM,07:42 PM,33.8918,-87.5261
4053823,Carrollton,-5 UTC,Rain,moderate rain,23.63 °C,24.19 °C,23.63 °C,23.63 °C,82%,25%,10000 m,3.27 m/s,175°,1011,1011,1000,05:54 AM,07:43 PM,33.2618,-88.095
4053940,Castleberry,-5 UTC,Clouds,broken clouds,24.89 °C,25.18 °C,24.89 °C,24.89 °C,67%,57%,6960 m,3.97 m/s,199°,1012,1012,1002,05:54 AM,07:34 PM,31.2991,-87.0225
4053988,Catoma,-5 UTC,Clouds,broken clouds,25.06 °C,25.32 °C,25.06 °C,25.06 °C,65%,61%,10000 m,4.81 m/s,198°,1010,1010,1003,05:49 AM,07:34 PM,32.3135,-86.4336
4054073,Cedar Bluff,-5 UTC,Clouds,overcast clouds,26.93 °C,27.86 °C,26.97 °C,24.88 °C,58%,99%,10000 m,3.5 m/s,182°,1011,1011,985,05:42 AM,07:35 PM,34.2201,-85.6077
4054378,Center Point,-5 UTC,Clouds,overcast clouds,22.68 °C,22.99 °C,24.2 °C,22.1 °C,76%,100%,10000 m,1.79 m/s,338°,1011,1011,984,05:48 AM,07:38 PM,33.6457,-86.6836
4054555,Centre,-5 UTC,Clouds,overcast clouds,26.86 °C,27.78 °C,26.86 °C,26.86 °C,58%,98%,10000 m,3.73 m/s,172°,1011,1011,986,05:43 AM,07:35 PM,34.152,-85.6788
4054566,Centreville,-5 UTC,Clouds,scattered clouds,24.29 °C,24.86 °C,24.29 °C,24.29 °C,80%,25%,10000 m,4.95 m/s,177°,1011,1011,996,05:51 AM,07:38 PM,32.9446,-87.1386
4054593,Chalkville,-5 UTC,Rain,light rain,22.58 °C,22.88 °C,23.95 °C,21.84 °C,76%,100%,10000 m,1.79 m/s,338°,1011,1011,983,05:47 AM,07:38 PM,33.6532,-86.6478
4054818,Chatom,-5 UTC,Clouds,overcast clouds,24.95 °C,25.15 °C,24.95 °C,24.95 °C,63%,100%,10000 m,1.79 m/s,210°,1010,1010,1003,05:58 AM,07:40 PM,31.4652,-88.2545
4054852,Chelsea,-5 UTC,Clouds,broken clouds,23.28 °C,23.7 °C,25.09 °C,22.71 °C,78%,58%,10000 m,0.89 m/s,264°,1011,1011,989,05:48 AM,07:37 PM,33.3401,-86.6303
4054866,Cherokee,-5 UTC,Clouds,overcast clouds,25.03 °C,25.44 °C,25.37 °C,23.94 °C,71%,98%,9389 m,3.21 m/s,169°,1011,1011,989,05:51 AM,07:45 PM,34.757,-87.9728
4054996,Chickasaw,-5 UTC,Clouds,broken clouds,24.82 °C,25.11 °C,25.58 °C,23.61 °C,67%,63%,10000 m,5.43 m/s,204°,1012,1012,1008,05:59 AM,07:38 PM,30.7638,-88.0747
4055045,Childersburg,-5 UTC,Clouds,scattered clouds,25.24 °C,25.86 °C,25.6 °C,23.49 °C,78%,50%,10000 m,5.68 m/s,177°,1011,1011,991,05:47 AM,07:36 PM,33.2782,-86.355
4055139,Choccolocco,-5 UTC,Clouds,overcast clouds,24.87 °C,25.19 °C,24.87 °C,24.87 °C,68%,100%,10000 m,3.82 m/s,153°,1011,1011,977,05:44 AM,07:34 PM,33.6593,-85.7036
4055298,Chunnenuggee,-5 UTC,Clouds,scattered clouds,25.55 °C,25.83 °C,25.55 °C,25.55 °C,64%,33%,10000 m,4.73 m/s,183°,1011,1011,997,05:46 AM,07:31 PM,32.1565,-85.6436
4055535,Citronelle,-5 UTC,Clouds,overcast clouds,23.39 °C,23.43 °C,24.88 °C,23.39 °C,63%,100%,10000 m,1.34 m/s,226°,1011,1011,1003,05:59 AM,07:39 PM,31.0907,-88.2281
4055577,Clanton,-5 UTC,Clear,clear sky,23.08 °C,23.45 °C,24.28 °C,22.83 °C,77%,10%,10000 m,1.79 m/s,200°,1011,1011,991,05:49 AM,07:36 PM,32.8387,-86.6294
4055650,Clay,-5 UTC,Clouds,overcast clouds,22.77 °C,23.11 °C,24.04 °C,21.93 °C,77%,100%,10000 m,1.79 m/s,338°,1011,1011,982,05:47 AM,07:37 PM,33.7026,-86.5997
4055696,Clayton,-5 UTC,Clouds,broken clouds,26.18 °C,26.18 °C,26.18 °C,26.18 °C,63%,75%,10000 m,4.96 m/s,197°,1011,1011,996,05:46 AM,07:29 PM,31.8782,-85.4497
4055815,Cleveland,-5 UTC,Clouds,overcast clouds,23.6 °C,24 °C,23.6 °C,23.6 °C,76%,88%,10000 m,2.55 m/s,141°,1010,1010,983,05:47 AM,07:38 PM,33.9909,-86.5775
4055879,Clio,-5 UTC,Clouds,scattered clouds,26.33 °C,26.33 °C,26.33 °C,26.33 °C,60%,37%,10000 m,3.86 m/s,186°,1011,1011,996,05:47 AM,07:30 PM,31.7088,-85.6105
4056017,Coaling,-5 UTC,Clouds,few clouds,22.48 °C,22.95 °C,22.48 °C,22.02 °C,83%,11%,10000 m,4.64 m/s,194°,1011,1011,995,05:51 AM,07:39 PM,33.159,-87.3408
4056099,Coffee,-5 UTC,Clouds,few clouds,26.42 °C,26.42 °C,27.12 °C,26.42 °C,33%,15%,10000 m,4.24 m/s,200°,1014,1014,999,05:49 AM,07:31 PM,31.4168,-86.0002
4056165,Colbert,-5 UTC,Clouds,broken clouds,24.33 °C,24.65 °C,24.96 °C,23.54 °C,70%,78%,10000 m,1.34 m/s,238°,1010,1010,988,05:50 AM,07:44 PM,34.6834,-87.8167
4056381,Collinsville,-5 UTC,Clouds,overcast clouds,23.85 °C,24.07 °C,24.59 °C,23.85 °C,68%,99%,10000 m,3.8 m/s,178°,1011,1011,978,05:43 AM,07:36 PM,34.264,-85.8605
4056427,Columbiana,-5 UTC,Clouds,scattered clouds,23.49 °C,24.09 °C,24.36 °C,23.03 °C,84%,38%,10000 m,5.6 m/s,178°,1011,1011,991,05:48 AM,07:36 PM,33.1782,-86.6072
4056515,Concord,-5 UTC,Clouds,broken clouds,22.72 °C,23.14 °C,23 °C,22.49 °C,80%,69%,10000 m,3.62 m/s,172°,1011,1011,991,05:49 AM,07:39 PM,33.4676,-87.0311
4056592,Conecuh,-5 UTC,Clouds,broken clouds,24.59 °C,24.85 °C,24.59 °C,24.59 °C,67%,55%,9335 m,4.1 m/s,195°,1012,1012,1000,05:53 AM,07:35 PM,31.4668,-86.9833
4056837,Coosada,-5 UTC,Clouds,scattered clouds,28.14 °C,29.21 °C,28.45 °C,26.7 °C,56%,27%,10000 m,4.35 m/s,164°,1009,1009,1000,05:49 AM,07:34 PM,32.4979,-86.3314
4056920,Cordova,-5 UTC,Rain,heavy intensity rain,24.29 °C,24.99 °C,24.29 °C,24.29 °C,85%,59%,10000 m,3.08 m/s,216°,1011,1011,994,05:49 AM,07:40 PM,33.7598,-87.1833
4057139,Cottonwood,-5 UTC,Clouds,scattered clouds,28.5 °C,29.14 °C,28.5 °C,28.01 °C,51%,36%,10000 m,3.25 m/s,197°,1012,1012,1005,05:47 AM,07:27 PM,31.0488,-85.3049
4057296,Covington County,-5 UTC,Clouds,broken clouds,27.81 °C,28.32 °C,27.81 °C,24.63 °C,51%,52%,10000 m,4.29 m/s,236°,1012,1012,1001,05:51 AM,07:32 PM,31.2668,-86.45
4057320,Cowarts,-5 UTC,Clouds,scattered clouds,27.81 °C,28.97 °C,28.25 °C,27.33 °C,58%,47%,10000 m,3.19 m/s,185°,1012,1012,1003,05:47 AM,07:27 PM,31.2002,-85.3046
4057493,Creek Stand,-5 UTC,Clouds,broken clouds,25.63 °C,26.02 °C,25.63 °C,25.63 °C,68%,72%,10000 m,4.18 m/s,181°,1011,1011,997,05:45 AM,07:30 PM,32.2946,-85.4774
4057517,Crenshaw,-5 UTC,Clouds,broken clouds,25.1 °C,25.18 °C,25.1 °C,25.1 °C,58%,59%,10000 m,3.87 m/s,225°,1012,1012,997,05:50 AM,07:32 PM,31.7335,-86.3166
4057531,Creola,-5 UTC,Clouds,broken clouds,25.24 °C,25.57 °C,25.57 °C,23.86 °C,67%,82%,10000 m,4.63 m/s,203°,1011,1011,1006,05:58 AM,07:38 PM,30.8919,-88.0397
4057731,Crossville,-5 UTC,Clouds,overcast clouds,23.49 °C,23.72 °C,23.6 °C,22.12 °C,70%,98%,10000 m,3.94 m/s,172°,1011,1011,975,05:44 AM,07:36 PM,34.2876,-85.9941
4057835,Cullman,-5 UTC,Rain,light rain,23.65 °C,24.06 °C,23.65 °C,23.65 °C,76%,12%,9513 m,2.45 m/s,188°,1010,1010,981,05:47 AM,07:39 PM,34.1748,-86.8436
4057881,Cumberland Mountain Farm Colony (historical),-5 UTC,Rain,light rain,23.3 °C,23.54 °C,24.15 °C,23.3 °C,71%,47%,10000 m,3.9 m/s,180°,1010,1010,975,05:43 AM,07:38 PM,34.7959,-86.1167
4058027,Dadeville,-5 UTC,Clouds,scattered clouds,24.7 °C,25.03 °C,24.7 °C,24.7 °C,69%,40%,10000 m,5.44 m/s,186°,1011,1011,987,05:46 AM,07:32 PM,32.8312,-85.7636
4058052,Dale,-5 UTC,Clouds,scattered clouds,27.05 °C,27.79 °C,27.79 °C,27.04 °C,55%,28%,10000 m,3.03 m/s,182°,1012,1012,999,05:48 AM,07:29 PM,31.4502,-85.6499
4058061,Daleville,-5 UTC,Clouds,scattered clouds,27.14 °C,27.89 °C,27.67 °C,27.13 °C,55%,28%,10000 m,3.61 m/s,188°,1012,1012,1001,05:48 AM,07:29 PM,31.3102,-85.713
4058076,Dallas,-5 UTC,Clouds,broken clouds,24.65 °C,25.05 °C,24.65 °C,24.65 °C,72%,60%,10000 m,4.68 m/s,194°,1011,1011,1004,05:52 AM,07:37 PM,32.3335,-87.0833
4058198,Danville,-5 UTC,Rain,moderate rain,23.5 °C,23.97 °C,23.88 °C,23.44 °C,79%,57%,10000 m,3.97 m/s,178°,1010,1010,985,05:48 AM,07:41 PM,34.4145,-87.0875
4058219,Daphne,-5 UTC,Clouds,overcast clouds,24.2 °C,24.61 °C,25.45 °C,23.23 °C,74%,99%,10000 m,1.34 m/s,87°,1012,1012,1009,05:58 AM,07:37 PM,30.6035,-87.9036
4058262,Dauphin Island,-5 UTC,Clouds,broken clouds,24.08 °C,24.32 °C,24.08 °C,24.08 °C,68%,72%,10000 m,7.84 m/s,220°,1012,1012,1012,06:00 AM,07:37 PM,30.2555,-88.1097
4058479,DeKalb County,-5 UTC,Clouds,overcast clouds,23.5 °C,23.68 °C,24.15 °C,22.4 °C,68%,89%,10000 m,1.79 m/s,186°,1011,1011,968,05:42 AM,07:36 PM,34.4501,-85.7833
4058543,Deatsville,-5 UTC,Clouds,few clouds,27.84 °C,28.81 °C,28.16 °C,27.84 °C,56%,16%,10000 m,3.76 m/s,167°,1009,1009,996,05:49 AM,07:34 PM,32.6082,-86.3958
4058550,Debardeleben,-5 UTC,Rain,moderate rain,24.17 °C,24.81 °C,24.17 °C,24.17 °C,83%,53%,10000 m,2.86 m/s,220°,1011,1011,992,05:49 AM,07:39 PM,33.7959,-87.0055
4058553,Decatur,-5 UTC,Clouds,overcast clouds,23.76 °C,24.28 °C,23.92 °C,23.14 °C,80%,89%,10000 m,4.18 m/s,175°,1010,1010,989,05:47 AM,07:41 PM,34.6059,-86.9833
4058662,Demopolis,-5 UTC,Clouds,broken clouds,23.79 °C,24.31 °C,23.79 °C,23.79 °C,80%,82%,10000 m,3.07 m/s,203°,1011,1011,1005,05:54 AM,07:40 PM,32.5176,-87.8364
4058740,Detroit Park,-5 UTC,Clouds,broken clouds,24.11 °C,24.43 °C,25.4 °C,22.25 °C,71%,60%,10000 m,1.34 m/s,125°,1010,1010,990,05:49 AM,07:44 PM,34.7573,-87.6189
4059070,Dora,-5 UTC,Rain,moderate rain,24.18 °C,24.85 °C,24.18 °C,24.18 °C,84%,62%,10000 m,2.93 m/s,215°,1011,1011,994,05:49 AM,07:39 PM,33.7287,-87.0903
4059102,Dothan,-5 UTC,Clouds,scattered clouds,27.74 °C,28.78 °C,28.16 °C,27.13 °C,57%,42%,10000 m,0.45 m/s,323°,1012,1012,1002,05:47 AM,07:28 PM,31.2232,-85.3905
4059162,Double Springs,-5 UTC,Rain,light rain,23.41 °C,23.84 °C,23.41 °C,23.41 °C,78%,36%,10000 m,3.58 m/s,182°,1010,1010,984,05:50 AM,07:42 PM,34.1465,-87.4022
4059171,Douglas,-5 UTC,Clouds,overcast clouds,23.49 °C,23.62 °C,24.07 °C,22.32 °C,66%,93%,10000 m,2.78 m/s,194°,1011,1011,970,05:42 AM,07:35 PM,34.427,-85.7286
4059229,Dozier,-5 UTC,Clouds,broken clouds,25.37 °C,25.4 °C,27.84 °C,24.67 °C,55%,55%,10000 m,4.12 m/s,235°,1012,1012,999,05:51 AM,07:32 PM,31.4921,-86.365
4059831,East Brewton,-5 UTC,Clouds,broken clouds,24.95 °C,25.28 °C,24.95 °C,24.95 °C,68%,64%,10000 m,3.26 m/s,198°,1012,1012,1005,05:54 AM,07:34 PM,31.0932,-87.0628
4059870,East Florence,-5 UTC,Clouds,broken clouds,23.81 °C,24.15 °C,25.33 °C,22.17 °C,73%,57%,10000 m,2.24 m/s,254°,1010,1010,990,05:49 AM,07:44 PM,34.8095,-87.6495
4060038,Eastwood,-5 UTC,Clouds,overcast clouds,23.65 °C,23.85 °C,24.25 °C,23.3 °C,68%,94%,10000 m,4.49 m/s,199°,1012,1012,1005,05:57 AM,07:37 PM,30.8907,-87.7531
4060176,Eclectic,-5 UTC,Clouds,scattered clouds,27.68 °C,29.29 °C,27.68 °C,25.92 °C,63%,31%,10000 m,4.46 m/s,164°,1010,1010,994,05:47 AM,07:33 PM,32.6354,-86.0344
4060381,Elberta,-5 UTC,Clouds,scattered clouds,24.27 °C,24.5 °C,25.12 °C,22.73 °C,67%,50%,10000 m,4.47 m/s,217°,1012,1012,1010,05:58 AM,07:35 PM,30.4144,-87.5978
